epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59228,3.45296,21.7495,5.68383,4.39614,0.00208,0.30556,0.00615,0.00267,0,0,0,0,3.04935,5.18559,4.34091,4.1591,0,0,0
2,5.33325,3.46071,15.5235,4.86562,4.4475,0.00152,0.13889,0.00175,0.00069,0,0,0,0,3.04935,5.18482,4.34091,4.15894,6.18813e-06,6.18813e-06,6.18813e-06
3,6.05615,3.19201,41.0186,5.17022,4.36877,0.00036,0.16667,0.00053,0.00032,0,0,0,0,3.04958,5.18494,4.34119,4.15853,1.22525e-05,1.22525e-05,1.22525e-05
4,6.68783,3.38095,48.4703,5.55667,4.61162,0.0007,0.20833,0.00097,0.00055,0,0,0,0,3.04942,5.18519,4.34072,4.15872,1.81931e-05,1.81931e-05,1.81931e-05
5,7.33453,3.51049,7.16388,4.90893,4.20736,0.001,0.21875,0.00118,0.00053,0,0,0,0,3.04944,5.18555,4.34069,4.15874,2.401e-05,2.401e-05,2.401e-05
