epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83167,3.45296,21.7495,5.68383,4.39614,0.00208,0.30556,0.00615,0.00267,0,0,0,0,3.04935,5.18559,4.34091,4.1591,0,0,0
2,4.5381,3.46071,15.5235,4.86562,4.4475,0.00152,0.13889,0.00175,0.00069,0,0,0,0,3.04935,5.18482,4.34091,4.15894,6.18813e-06,6.18813e-06,6.18813e-06
3,5.2389,3.19201,41.0186,5.17022,4.36877,0.00036,0.16667,0.00053,0.00032,0,0,0,0,3.04958,5.18494,4.34119,4.15853,1.22525e-05,1.22525e-05,1.22525e-05
4,5.88441,3.38095,48.4703,5.55667,4.61162,0.0007,0.20833,0.00097,0.00055,0,0,0,0,3.04942,5.18519,4.34072,4.15872,1.81931e-05,1.81931e-05,1.81931e-05
5,6.5253,3.51049,7.16388,4.90893,4.20736,0.001,0.21875,0.00118,0.00053,0,0,0,0,3.04944,5.18555,4.34069,4.15874,2.401e-05,2.401e-05,2.401e-05
6,7.12428,3.04665,9.26717,4.75706,4.22484,0.00081,0.20833,0.00173,0.00062,0,0,0,0,3.04921,5.18505,4.34094,4.15857,2.97031e-05,2.97031e-05,2.97031e-05
7,7.75837,2.92393,22.1894,4.82725,4.28708,0.00046,0.16667,0.00072,0.00031,0,0,0,0,3.04968,5.18525,4.33982,4.15879,3.52725e-05,3.52725e-05,3.52725e-05
8,8.37979,3.46294,13.2553,4.91733,4.38399,0.00049,0.16667,0.00082,0.00032,0,0,0,0,3.04994,5.18564,4.33934,4.15866,4.07181e-05,4.07181e-05,4.07181e-05
9,9.0197,3.44365,10.5892,5.01852,4.3949,0.00013,0.08333,0.00021,8e-05,0,0,0,0,3.04992,5.18532,4.33947,4.15865,4.604e-05,4.604e-05,4.604e-05
10,9.68549,3.35516,19.6526,4.96522,4.43533,0.0003,0.16667,0.00045,0.00029,0,0,0,0,3.04996,5.18599,4.33942,4.15854,5.12381e-05,5.12381e-05,5.12381e-05
11,10.4372,3.49426,27.054,4.89443,4.43686,0.00036,0.16667,0.00076,0.00048,0,0,0,0,3.04981,5.18548,4.33947,4.15868,5.63125e-05,5.63125e-05,5.63125e-05
12,11.2028,3.55961,7.0996,4.99492,4.2506,0.00042,0.16667,0.00201,0.00081,0,0,0,0,3.04988,5.18528,4.33941,4.15865,6.12631e-05,6.12631e-05,6.12631e-05
13,11.989,3.21399,16.2824,4.86389,4.39345,0.00057,0.16667,0.00084,0.00027,0,0,0,0,3.05071,5.1853,4.33837,4.1585,6.609e-05,6.609e-05,6.609e-05
14,12.7419,3.80602,17.944,5.17436,4.31618,0.00013,0.08333,0.00034,0.00014,0,0,0,0,3.05035,5.18458,4.33878,4.15852,7.07931e-05,7.07931e-05,7.07931e-05
15,13.5226,3.38994,14.6533,5.11738,4.25708,0.0003,0.16667,0.00344,0.00067,0,0,0,0,3.05029,5.18437,4.33778,4.15807,7.53725e-05,7.53725e-05,7.53725e-05
16,14.2934,3.44838,14.6304,4.66641,4.29142,0.0003,0.16667,0.00063,0.00034,0,0,0,0,3.05066,5.18369,4.33727,4.15804,7.98281e-05,7.98281e-05,7.98281e-05
17,15.1074,3.01944,8.30972,4.84371,4.31933,0.00095,0.17708,0.00144,0.00047,0,0,0,0,3.05066,5.18376,4.33727,4.15826,8.416e-05,8.416e-05,8.416e-05
18,15.828,3.45181,11.8843,4.93666,4.34387,0.00095,0.17708,0.00144,0.00047,0,0,0,0,3.05066,5.18376,4.33727,4.15826,8.83681e-05,8.83681e-05,8.83681e-05
19,16.6543,3.51904,8.3935,4.70587,4.26179,0.00065,0.17708,0.00157,0.00067,0,0,0,0,3.05065,5.18419,4.33602,4.15794,9.24525e-05,9.24525e-05,9.24525e-05
20,17.3778,3.11329,8.91304,4.69051,4.26939,0.00065,0.17708,0.00157,0.00067,0,0,0,0,3.05065,5.18419,4.33602,4.15794,9.64131e-05,9.64131e-05,9.64131e-05
