epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,47.6453,0.00016,6.89571,29.8249,8e-05,0,0,0,0,0,0,0,0,0.00361,6.06674,21.6875,0.00176,0.000960652,0.000960652,0.000960652
40,48.6134,0.08786,5.56623,29.1463,0.04263,0,0,0,0,0,0,0,0,0.00361,6.06674,21.6875,0.00176,0.000969962,0.000969962,0.000969962
41,49.6465,0,6.36157,29.1872,0,0,0,0,0,0,0,0,0,0.00543,6.01702,21.0312,0.00256,0.00097848,0.00097848,0.00097848
42,50.6284,0,7.55871,28.3162,0,0,0,0,0,0,0,0,0,0.00543,6.01702,21.0312,0.00256,0.000986206,0.000986206,0.000986206
43,51.6238,2.74497,7.91862,30.1112,1.47206,0,0,0,0,0,0,0,0,0.00543,6.01702,21.0312,0.00256,0.00099314,0.00099314,0.00099314
44,52.6534,0.60203,5.86758,29.0994,0.29472,0,0,0,0,0,0,0,0,0.01253,5.7852,13.1172,0.00567,0.000999282,0.000999282,0.000999282
45,53.6422,0,3.31526,28.3391,0,0,0,0,0,0,0,0,0,0.01253,5.7852,13.1172,0.00567,0.00100463,0.00100463,0.00100463
46,54.6785,0.53851,6.23302,29.0618,0.26674,0,0,0,0,0,0,0,0,0.01253,5.7852,13.1172,0.00567,0.00100919,0.00100919,0.00100919
47,55.805,0.02486,5.08376,28.4054,0.01099,0,0,0,0,0,0,0,0,0.03743,5.62134,16.2969,0.01651,0.00101296,0.00101296,0.00101296
48,56.831,1.19246,2.61589,28.4861,0.55701,0,0,0,0,0,0,0,0,0.03743,5.62134,16.2969,0.01651,0.00101593,0.00101593,0.00101593
49,57.8269,0.06081,8.29707,27.9503,0.02807,0,0,0,0,0,0,0,0,0.03743,5.62134,16.2969,0.01651,0.00101811,0.00101811,0.00101811
50,58.918,1e-05,3.74215,27.5272,0,0,0,0,0,0,0,0,0,0.12065,5.95093,19.9062,0.05226,0.0010195,0.0010195,0.0010195
51,59.9318,0.00144,5.12608,26.8786,0.00069,0,0,0,0,0,0,0,0,0.12065,5.95093,19.9062,0.05226,0.00101,0.00101,0.00101
52,61.1067,0.13505,6.51076,26.9764,0.06208,0,0,0,0,0,0,0,0,0.12065,5.95093,19.9062,0.05226,0.0009902,0.0009902,0.0009902
53,62.1668,0,6.43595,26.997,0,0,0,0,0,0,0,0,0,0.28677,5.58838,20.9219,0.12182,0.0009704,0.0009704,0.0009704
54,63.1915,0.03891,6.08382,26.3512,0.02015,0,0,0,0,0,0,0,0,0.28677,5.58838,20.9219,0.12182,0.0009506,0.0009506,0.0009506
55,64.2593,2e-05,6.611,26.7391,1e-05,0,0,0,0,0,0,0,0,0.28677,5.58838,20.9219,0.12182,0.0009308,0.0009308,0.0009308
56,65.3413,2e-05,5.75754,27.0856,1e-05,0,0,0,0,0,0,0,0,0.50075,5.60303,22.2656,0.20948,0.000911,0.000911,0.000911
57,66.4655,0.00196,6.63302,26.0628,0.00084,0,0,0,0,0,0,0,0,0.50075,5.60303,22.2656,0.20948,0.0008912,0.0008912,0.0008912
58,67.5684,1e-05,5.52891,25.8938,0,0,0,0,0,0,0,0,0,0.50075,5.60303,22.2656,0.20948,0.0008714,0.0008714,0.0008714
59,68.6864,3.18146,5.32014,28.0439,1.50543,0,0,0,0,0,0,0,0,0.62767,5.4895,21.8125,0.2601,0.0008516,0.0008516,0.0008516
60,69.767,0,6.06946,25.8024,0,0,0,0,0,0,0,0,0,0.62767,5.4895,21.8125,0.2601,0.0008318,0.0008318,0.0008318
61,70.8321,0,8.24991,25.8422,0,0,0,0,0,0,0,0,0,0.62767,5.4895,21.8125,0.2601,0.000812,0.000812,0.000812
62,72.0008,5e-05,5.34015,25.6942,2e-05,0,0,0,0,0,0,0,0,0.90317,5.55542,19.25,0.37407,0.0007922,0.0007922,0.0007922
63,73.0393,0,2.6776,25.1655,0,0,0,0,0,0,0,0,0,0.90317,5.55542,19.25,0.37407,0.0007724,0.0007724,0.0007724
64,74.099,0.00016,3.15519,25.2907,6e-05,0,0,0,0,0,0,0,0,0.90317,5.55542,19.25,0.37407,0.0007526,0.0007526,0.0007526
65,75.1919,0,5.75501,25.2393,0,0,0,0,0,0,0,0,0,1.18758,5.69092,18.7812,0.49312,0.0007328,0.0007328,0.0007328
66,76.2571,3.25059,4.71496,27.0292,1.5418,0,0,0,0,0,0,0,0,1.18758,5.69092,18.7812,0.49312,0.000713,0.000713,0.000713
67,77.3044,0,2.88046,24.9071,0,0,0,0,0,0,0,0,0,1.18758,5.69092,18.7812,0.49312,0.0006932,0.0006932,0.0006932
68,78.4029,0.0031,5.9803,24.9871,0.0012,0,0,0,0,0,0,0,0,1.36621,5.86304,18.8438,0.56017,0.0006734,0.0006734,0.0006734
69,79.45,0.01449,5.50706,25.0337,0.00664,0,0,0,0,0,0,0,0,1.36621,5.86304,18.8438,0.56017,0.0006536,0.0006536,0.0006536
70,80.5512,0.00097,5.74163,24.5166,0.00045,0,0,0,0,0,0,0,0,1.36621,5.86304,18.8438,0.56017,0.0006338,0.0006338,0.0006338
71,81.7482,0.03718,5.19278,24.285,0.02592,0,0,0,0,0,0,0,0,1.33954,6.03516,18.7344,0.52712,0.000614,0.000614,0.000614
72,82.7881,7e-05,2.8814,24.0859,5e-05,0,0,0,0,0,0,0,0,1.33954,6.03516,18.7344,0.52712,0.0005942,0.0005942,0.0005942
73,83.8876,2.85064,6.48241,18.4739,1.40127,0,0,0,0,0,0,0,0,1.33954,6.03516,18.7344,0.52712,0.0005744,0.0005744,0.0005744
74,85.0054,3.21051,6.42129,25.7822,1.44363,0,0,0,0,0,0,0,0,0.55653,5.82275,18.125,0.21488,0.0005546,0.0005546,0.0005546
75,86.0438,2.13826,11.4477,25.3309,1.02471,0,0,0,0,0,0,0,0,0.55653,5.82275,18.125,0.21488,0.0005348,0.0005348,0.0005348
76,87.0792,3.01709,7.55628,20.6214,1.38385,0,0,0,0,0,0,0,0,0.55653,5.82275,18.125,0.21488,0.000515,0.000515,0.000515
77,88.1518,0.09801,5.44186,23.8733,0.04043,0,0,0,0,0,0,0,0,0.0417,5.80444,18.0625,0.01752,0.0004952,0.0004952,0.0004952
78,89.202,0.3563,2.93516,23.9052,0.16062,0,0,0,0,0,0,0,0,0.0417,5.80444,18.0625,0.01752,0.0004754,0.0004754,0.0004754
79,90.2313,0,5.64666,23.6148,0,0,0,0,0,0,0,0,0,0.0417,5.80444,18.0625,0.01752,0.0004556,0.0004556,0.0004556
80,91.3793,0,4.3164,23.5755,0,0,0,0,0,0,0,0,0,0.00545,5.65063,17.7656,0.00263,0.0004358,0.0004358,0.0004358
81,92.5053,0.00016,5.56595,23.8439,6e-05,0,0,0,0,0,0,0,0,0.00545,5.65063,17.7656,0.00263,0.000416,0.000416,0.000416
82,93.5543,3.3515,6.63192,24.9959,1.47956,0,0,0,0,0,0,0,0,0.00545,5.65063,17.7656,0.00263,0.0003962,0.0003962,0.0003962
83,94.6716,0.01571,5.79935,23.462,0.00551,0,0,0,0,0,0,0,0,0.00132,5.44556,17.5625,0.00073,0.0003764,0.0003764,0.0003764
84,95.6941,0,5.57285,23.4753,0,0,0,0,0,0,0,0,0,0.00132,5.44556,17.5625,0.00073,0.0003566,0.0003566,0.0003566
85,96.7295,0.00014,7.30988,23.4271,5e-05,0,0,0,0,0,0,0,0,0.00132,5.44556,17.5625,0.00073,0.0003368,0.0003368,0.0003368
86,97.8078,2.40377,6.1162,24.736,1.06935,0,0,0,0,0,0,0,0,0.00065,5.47119,18.2188,0.00039,0.000317,0.000317,0.000317
87,98.8142,0.06478,5.97908,23.1774,0.02585,0,0,0,0,0,0,0,0,0.00065,5.47119,18.2188,0.00039,0.0002972,0.0002972,0.0002972
