epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49414,3.47128,27.613,5.6222,4.38782,0.0025,0.38889,0.00625,0.00265,0,0,0,0,3.03955,5.1441,4.31719,4.15915,0,0,0
2,5.2138,3.48726,15.9047,4.81532,4.46558,0.00193,0.22222,0.00601,0.00247,0,0,0,0,3.03955,5.14337,4.31719,4.15901,5.73438e-06,5.73438e-06,5.73438e-06
3,21.3039,3.13257,12.4237,4.82145,4.36055,0.01072,0.19444,0.01778,0.0071,0,0,0,0,3.03978,5.14356,4.31747,4.15879,1.04375e-05,1.04375e-05,1.04375e-05
4,22.1029,2.82514,21.4992,5.10036,4.55241,0.00129,0.30556,0.00175,0.00167,0,0,0,0,3.03978,5.14389,4.31747,4.15907,1.41094e-05,1.41094e-05,1.41094e-05
5,22.8839,3.32189,26.5766,5.11163,4.38391,0.00127,0.30556,0.00169,0.00227,0,0,0,0,3.03962,5.14418,4.31696,4.15885,1.675e-05,1.675e-05,1.675e-05
6,23.5639,2.94222,10.3404,4.74923,4.24489,0.00153,0.30556,0.00217,0.00102,0,0,0,0,3.03938,5.14369,4.31702,4.15882,1.83594e-05,1.83594e-05,1.83594e-05
7,24.2209,3.13659,11.4728,4.84092,4.29789,0.00158,0.30556,0.00206,0.001,0,0,0,0,3.03975,5.14395,4.31567,4.15895,1.89375e-05,1.89375e-05,1.89375e-05
8,24.8299,2.86854,18.3178,5.15031,4.44887,0.00166,0.30556,0.00207,0.00108,0,0,0,0,3.03981,5.14378,4.31594,4.15906,1.84844e-05,1.84844e-05,1.84844e-05
9,25.4309,2.83835,11.0441,5.24357,4.29276,0.00202,0.13889,0.00184,0.00035,0,0,0,0,3.03973,5.14384,4.31581,4.15903,1.7e-05,1.7e-05,1.7e-05
10,26.0739,2.68707,9.83627,4.81005,4.26002,0.00268,0.22222,0.01131,0.00235,0,0,0,0,3.0397,5.14457,4.31571,4.15908,1.44844e-05,1.44844e-05,1.44844e-05
11,26.8179,2.97816,16.6377,5.19521,4.38334,0.00202,0.33333,0.00307,0.00095,0,0,0,0,3.03961,5.14411,4.31584,4.1591,1.09375e-05,1.09375e-05,1.09375e-05
12,27.5319,3.04629,50.5832,5.22381,4.57552,0.00139,0.30556,0.00189,0.00112,0,0,0,0,3.03922,5.14406,4.31626,4.15924,6.35938e-06,6.35938e-06,6.35938e-06
