epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54975,3.57139,36.5846,5.4749,4.51074,0.0025,0.38889,0.00794,0.00261,0,0,0,0,3.03881,5.13692,4.11214,4.1592,0,0,0
2,2.41977,3.33017,16.0548,4.95208,4.41207,0.00194,0.22222,0.00705,0.00181,0,0,0,0,3.03881,5.13695,4.11214,4.15904,6.18813e-06,6.18813e-06,6.18813e-06
3,3.38877,3.13379,13.1674,4.96279,4.31855,0.00148,0.20833,0.00397,0.00156,0,0,0,0,3.03898,5.1367,4.11235,4.1587,1.22525e-05,1.22525e-05,1.22525e-05
4,4.23577,3.66072,9.14594,5.03527,4.42407,0.00056,0.125,0.00196,0.00101,0,0,0,0,3.03905,5.13689,4.11241,4.15871,1.81931e-05,1.81931e-05,1.81931e-05
5,4.97568,2.83222,9.1388,4.7904,4.33749,0.00056,0.125,0.00199,0.0006,0,0,0,0,3.03893,5.13788,4.11165,4.15892,2.401e-05,2.401e-05,2.401e-05
6,5.70066,3.59243,7.73908,4.98645,4.25646,0.00058,0.125,0.00193,0.00056,0,0,0,0,3.03862,5.1378,4.11449,4.15877,2.97031e-05,2.97031e-05,2.97031e-05
7,6.45266,3.34453,27.0549,4.91933,4.30258,0.00047,0.16667,0.00104,0.00036,0,0,0,0,3.03886,5.13647,4.11362,4.15904,3.52725e-05,3.52725e-05,3.52725e-05
8,7.24766,3.40967,13.5823,4.84314,4.28935,0.00048,0.16667,0.00104,0.00034,0,0,0,0,3.03901,5.1369,4.11366,4.159,4.07181e-05,4.07181e-05,4.07181e-05
9,8.05043,3.14477,25.0043,4.9483,4.34909,0.00013,0.08333,0.00025,0.00012,0,0,0,0,3.03898,5.13721,4.11358,4.15906,4.604e-05,4.604e-05,4.604e-05
10,8.89399,3.35114,19.8541,5.09636,4.38486,0.00014,0.08333,0.00023,0.00012,0,0,0,0,3.03902,5.13701,4.11364,4.15914,5.12381e-05,5.12381e-05,5.12381e-05
11,9.77982,2.95948,8.55467,4.54759,4.25858,0.00014,0.08333,0.00023,0.00012,0,0,0,0,3.03902,5.13701,4.11364,4.15914,5.63125e-05,5.63125e-05,5.63125e-05
12,10.6773,3.04112,23.5681,5.29743,4.5576,0.00076,0.20833,0.00134,0.0004,0,0,0,0,3.0386,5.13655,4.11419,4.15899,6.12631e-05,6.12631e-05,6.12631e-05
13,11.5483,3.79011,14.1773,5.08338,4.37574,0.00076,0.20833,0.00134,0.0004,0,0,0,0,3.0386,5.13655,4.11419,4.15899,6.609e-05,6.609e-05,6.609e-05
14,12.4863,2.94262,20.7611,4.71441,4.35285,0.00066,0.16667,0.00117,0.0003,0,0,0,0,3.03819,5.13695,4.11372,4.159,7.07931e-05,7.07931e-05,7.07931e-05
15,13.3463,3.78598,12.6571,4.90148,4.32354,0.00066,0.16667,0.00117,0.0003,0,0,0,0,3.03819,5.13695,4.11372,4.159,7.53725e-05,7.53725e-05,7.53725e-05
16,14.3079,3.38988,25.9763,4.83564,4.35931,0.00015,0.08333,0.0002,0.0001,0,0,0,0,3.03874,5.13705,4.11307,4.15907,7.98281e-05,7.98281e-05,7.98281e-05
17,15.1704,3.1441,9.89003,4.70672,4.31354,0.00015,0.08333,0.0002,0.0001,0,0,0,0,3.03874,5.13705,4.11307,4.15907,8.416e-05,8.416e-05,8.416e-05
18,16.0708,3.10784,9.23637,4.96559,4.28318,0.00014,0.08333,0.00022,0.00011,0,0,0,0,3.03839,5.13685,4.11288,4.15871,8.83681e-05,8.83681e-05,8.83681e-05
19,16.9284,3.05079,16.7482,4.96805,4.40753,0.00014,0.08333,0.00022,0.00011,0,0,0,0,3.03839,5.13685,4.11288,4.15871,9.24525e-05,9.24525e-05,9.24525e-05
20,17.8574,3.2301,9.63137,4.95635,4.20354,0.00014,0.08333,0.00039,0.00019,0,0,0,0,3.03806,5.13701,4.11362,4.1585,9.64131e-05,9.64131e-05,9.64131e-05
21,18.7534,3.00577,15.6721,4.7579,4.31752,0.00014,0.08333,0.00039,0.00019,0,0,0,0,3.03806,5.13701,4.11362,4.1585,0.00010025,0.00010025,0.00010025
